VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

NULLVALUE -666
NULLSTRING *

   30   723.828   353.808  0.004  0.018    8.333  124.003  5001.018  7541.612   3.797   5.060    7.777   10.519  721  727  350  357 +3.569353e+01 +2.461272e-02 +9.088806e+02 0.00000 1 None   16    2
   31   788.823   353.580  0.003  0.022    8.111  124.011  4867.898  7542.086   3.674   5.047    7.525   10.491  786  792  350  357 +4.134724e+01 +2.490655e-02 +1.070753e+03 0.00000 1 None   17    2
   32   793.244   353.560  0.003  0.020    8.096  124.011  4858.843  7542.128   3.597   5.060    7.367   10.519  790  796  350  357 +4.684397e+01 +2.505249e-02 +1.161374e+03 0.00000 1 None   17    2
   33  1076.796   358.223  0.005  0.013    7.129  123.852  4278.083  7532.435   4.860   4.917    9.955   10.222 1074 1080  355  361 +4.943677e+01 +2.456761e-02 +1.210383e+03 0.00000 1 None   18    1
   34   723.616   366.545  0.039  0.055    8.334  123.568  5001.452  7515.137   7.457   5.392   15.274   11.208  719  728  363  370 +1.993959e+01 +2.481112e-02 +8.993167e+02 0.00000 1 None   19    1
   35   775.190   366.896  0.005  0.016    8.158  123.556  4895.819  7514.406   3.945   4.999    8.080   10.392  772  778  364  370 +3.300945e+01 +2.456684e-02 +8.376815e+02 0.00000 1 None   20    2
   36   779.663   366.896  0.005  0.015    8.143  123.556  4886.659  7514.406   3.882   4.974    7.950   10.340  777  783  364  370 +3.644196e+01 +2.483426e-02 +8.870096e+02 0.00000 1 None   20    2
   37   867.170   372.946  0.007  0.013    7.844  123.349  4707.431  7501.832   5.324   4.944   10.903   10.278  864  871  370  376 +3.749913e+01 +2.442773e-02 +1.243630e+03 0.00000 1 None   21    2
   38   869.573   372.968  0.007  0.013    7.836  123.348  4702.507  7501.785   4.221   4.913    8.644   10.212  867  873  370  377 +3.831979e+01 +2.492951e-02 +1.061030e+03 0.00000 1 None   21    2
   39   505.828   380.244  0.004  0.014    9.077  123.099  5447.515  7486.660   4.519   4.979    9.256   10.350  503  509  377  384 +4.700591e+01 +2.458299e-02 +1.182469e+03 0.00000 1 None   22    1
